login,dz240907,cw240911,dz240911,cw240914,dz240914,cw240918,dz240918,dz240921,cw240928,dz240928,dz241002,cw241005,dz241005
aanaastaation,0.0,0.0,0.0,,0,"У other надо было проставить тип, так же у self.x и self.y, и реализовать метод __str__",0,0,0,0,0,0,0
amlet00,0.0,0.8571428571428571,0.0,,0,"У self.x и self.y надо было проставить тип, __str__ и __repr__ нужно поставить было запятуюа не точку с запятой.",0,0,0,0,0,0,0
ArkhipDudin,0.8,0.0,0.0,Лишние переменные и итерации цикла во внутреннем цикле,0,"У self.x и self.y надо было проставить тип, У __str__ надо было поставить круглые скобки вокруг значений",0,0,0,0,0,0,0
dannn.sadd,0.0,0.8571428571428571,0.0,"Переменные цикла одинаковые, сортировка не работает, стоило проверить, через if __name__ == '__main__'",0,"У self.x и self.y тип не совпадает с переданными в параметрах к __init__ x и y Не реализовано вычитание и метод __str__. Из typing надо импортировать Self, а не self. Не указаны типы данных для x1, y1, n. Не указаны типы возвращаемых значений для __add__ и __mul__. В методе сложения переданы одни аргументы, а в теле метода используются другие.",0,0,0,0,0,0,0
Ivan_Ovsyannikov,0.0,0.7142857142857143,0.7142857142857143,Не используй input для проверок. Пиши проверки в коде. Так ты сможешь проверять сразу все что придумал. А то при изменении кода возможно перестала проходить какая-то из предыдущих проверок,0,В методе __str__ нужно возвращать в круглых скобочках. ,0,0,0,0,0,0,0
Kolyan4ik,0.0,0.0,0.0,Нет двоеточия после условия. По сути код не рабочий. За такое могу и в ноль снизить.,0,"Не описан тип возвращаемого значения для методов, вместо Any надо было импортировать ииспользовать Self",0,0,0,0,0,0,0
lxcentry,0.0,0.5714285714285714,0.0,,0,"Не описан тип возвращаемого значения для методов, метод __str__ должен возвращать в круглых скобочках",0,0,0,0,0,0,0
MatveyVarfolomeev,0.0,0.0,0.7142857142857143,,0,,0,0,0,0,0,0,0
Moksha1352,0.0,0.0,0.0,"Можно использовать следующую конструкцию для обмена перменными: a[j], a[j + 1] = a[j + 1], a[j]",0,Метод  __str__ должен возвращать значения x и y в круглых скобочках,0,0,0,0,0,0,0
SemNeby,0.0,0.0,0.2857142857142857,"Красиво range(len(a)-1, -1, -1)",0,Не описан тип возвращаемого значения у методов,0,0,0,0,0,0,0
Slovaric,0.0,0.0,0.0,"Когда в функцию передают пустой список надо возвращать пустой список а не None. Мы уже знаем, что список у нас из целых чисел. Нам не нужно целые числа преобразвывать в целые числа перед сравнением. Лишнее число циклов во внутреннем цикле - неупорядоченная часть массива с каждым внешним циклом становится все меньше, и цикл надо запускать только по неупорядоченной его части.",0,Не реализован методы вычитания. Не описан тип возвращаемого значения у методов.,0,0,0,0,0,0,0
viuver,0.0,0.14285714285714285,0.0,,0,"Не реализован метод __str__, не стоит тип для n, нет типа для self.x и self.y Методы возвращают не объект класса Vec, а кортеж. Нет if __name__ == '__main__'. ",0,0,0,0,0,0,0
