login,dz240907,cw240911,dz240911,cw240914,dz240914,cw240918,dz240918,dz240921,cw240928,dz240928,dz241002,cw241005,dz241005
aanaastaation,0.0,0.0,0.0,1.0,0,0.6,0,0,0,0,0,0,0
amlet00,0.0,0.8571428571428571,0.0,1.0,0,0.6,0,0,0,0,0,0,0
ArkhipDudin,0.8,0.0,0.0,0.8,0,0.6,0,0,0,0,0,0,0
dannn.sadd,0.0,0.8571428571428571,0.0,0.0,0,0.2,0,0,0,0,0,0,0
Ivan_Ovsyannikov,0.0,0.7142857142857143,0.7142857142857143,1.0,0,0.8,0,0,0,0,0,0,0
Kolyan4ik,0.0,0.0,0.0,0.8,0,0.6,0,0,0,0,0,0,0
lxcentry,0.0,0.5714285714285714,0.0,1.0,0,0.6,0,0,0,0,0,0,0
MatveyVarfolomeev,0.0,0.0,0.7142857142857143,1.0,0,1.0,0,0,0,0,0,0,0
Moksha1352,0.0,0.0,0.0,1.0,0,0.8,0,0,0,0,0,0,0
SemNeby,0.0,0.0,0.2857142857142857,1.0,0,0.8,0,0,0,0,0,0,0
Slovaric,0.0,0.0,0.0,0.6,0,0.6,0,0,0,0,0,0,0
viuver,0.0,0.14285714285714285,0.0,1.0,0,0.2,0,0,0,0,0,0,0
