Учетные номера автомобильных дорог и их наименование;Идентификационные номера автомобильных дорог
"М-1""Беларусь""Москва - граница с Республикой Беларусь";00 ОП ФЗ М-1 (Е30, АН6, СНГ)
"М-2 ""Крым"" Москва - Тула - Орел - Курск - Белгород - граница с Украиной";00 ОП ФЗ М-2 (Е105, СНГ)
"М-3 ""Украина"" Москва - Калуга - Брянск - граница с Украиной";00 ОП ФЗ М-3 (Е101, Е391, СНГ)
"М-4 ""Дон"" Москва - Воронеж - Ростов-на-Дону - Краснодар - Новороссийск";00 ОП ФЗ М-4 (Е50, Е97, Е115, Е119, Е591, Е592, АН8, СНГ)
"М-5""Урал""  Москва - Рязань - Пенза - Самара - Уфа - Челябинск";00 ОП ФЗ М-5 (Е30, АН6, АН7, АН9, СНГ)
"М-7 ""Волга"" Москва - Владимир - Нижний Новгород - Казань";00 ОП ФЗ М-7 (Е017, Е22, СНГ)
М-8;00 ОП ФЗ М-8 (Е115, СНГ)
"""Холмогоры"" Москва - Ярославль - Вологда - Архангельск";
"М-9 ""Балтия"" Москва - Волоколамск - граница с Латвийской Республикой";00 ОП ФЗ М-9 (Е22, СНГ)
"М-10""Россия"" Москва - Тверь - Великий Новгород - Санкт-Петербург";00 ОП ФЗ М-10 (Е105, АН8, СНГ)
"М-11 ""Нева"" Москва - Санкт-Петербург";00 ОП ФЗ М-11 (Е105, АН8, АН9, СНГ)
"М-12 ""Восток"" строящаяся скоростная автомобильная дорога Москва - Казань - Екатеринбург - Тюмень";00 ОП ФЗ М-12
;(АН9, Е22, СНГ)
"Р-21 ""Кола"" Санкт-Петербург - Петрозаводск - Мурманск - Печенга - граница с Королевством Норвегия";00 ОП ФЗ Р-21 (Е105, СНГ)
"Р-22 ""Каспий"" автомобильная дорога М-4 ""Дон"" - Тамбов - Волгоград - Астрахань";00 ОП ФЗ Р-22 (Е38, Е40, Е119, АН8, АН61, АН70, СНГ)
Р-23 Санкт-Петербург - Псков - Пустошка - Невель - граница с Республикой Беларусь;00 ОП ФЗ Р-23 (Е95, СНГ)
Р-56 Великий Новгород - Сольцы - Порхов - Псков;00 ОП ФЗ Р-56
Р-92 Калуга - Перемышль - Белев - Орел;00 ОП ФЗ Р-92
Р-119 Орел - Ливны - Елец - Липецк - Тамбов;00 ОП ФЗ Р-119 (СНГ)
Р-120 Орел - Брянск - Смоленск - граница с Республикой Беларусь;00 ОП ФЗ Р-120 (СНГ)
"Р-132 ""Золотое кольцо"" Ярославль - Кострома - Иваново - Владимир - Гусь-Хрустальный - Рязань - Михайлов - Тула - Калуга - Вязьма - Ржев - Тверь - Углич - Ярославль";00 ОП ФЗ Р-132 (СНГ)
Р-150 Белгород - Старобельск - Луганск - Донецк - Мариуполь;00 ОП ФЗ Р-150 (Е40, СНГ)
Р-158 Нижний Новгород - Арзамас - Саранск - Исса - Пенза - Саратов;00 ОП ФЗ Р-158
"Р-176 ""Вятка"" Чебоксары - Йошкар-Ола - Киров - Сыктывкар";00 ОП ФЗ Р-176 (СНГ)
"Р-177 ""Поветлужье"" Нижний Новгород - Йошкар-Ола";00 ОП ФЗ Р-177
Р-178 Саранск - Сурское - Ульяновск;00 ОП ФЗ Р-178
Р-193 Воронеж - Тамбов;00 ОП ФЗ Р-193
Р-207 Пенза - Балашов - Михайловка - автомобильная дорога Р-260;00 ОП ФЗ Р-207
Р-208 Тамбов - Пенза;00 ОП ФЗ Р-208 (СНГ)
Р-215 Астрахань - Кочубей - Кизляр - Махачкала;00 ОП ФЗ Р-215 (Е119, Е50, АН8, СНГ)
